虹景苑,2室2厅,89.81平米,355,39528元/平,2020.05.10,南北,精装,高楼层(共6层),2003年建板楼
莘城苑,3室1厅,81.68平米,280,34281元/平,2020.05.10,南,简装,高楼层(共6层),1998年建板楼
银河新都,1室1厅,54.15平米,267,49308元/平,2020.05.10,南,精装,中楼层(共13层),2007年建板楼
旭辉玫瑰湾,3室1厅,89.63平米,289,32244元/平,2020.05.10,南北,毛坯,中楼层(共14层),2012年建板楼
宜浩佳园,1室2厅,77平米,240,31091元/平,2020.05.10,南北,精装,中楼层(共4层),2009年建板楼
海尚乐苑,2室2厅,75.42平米,280,37126元/平,2020.05.10,南,精装,中楼层(共14层),2010年建板楼
兰花清苑,2室1厅,72.43平米,197,27130元/平,2020.05.10,南,毛坯,中楼层(共13层),2013年建板楼
浩泽家园,2室2厅,56.16平米,170,30271元/平,2020.05.10,南,毛坯,高楼层(共6层),2006年建板楼
临沂七村,1室1厅,36.67平米,178,48542元/平,2020.05.10,南,简装,高楼层(共6层),1990年建板楼
博爱家园,3室2厅,125.03平米,834,66704元/平,2020.05.10,南,精装,低楼层(共6层),2002年建板楼
九英里,3室2厅,95.71平米,485,50622元/平,2020.05.10,南,简装,高楼层(共12层),2007年建板楼
金顺佳苑,3室2厅,118.52平米,275,23203元/平,2020.05.10,南北,精装,低楼层(共6层),2009年建板楼
临汾路1320弄,2室0厅,48.93平米,207,42306元/平,2020.05.10,南北,精装,高楼层(共6层),1995年建板楼
航天小区,3室1厅,76.85平米,450,58556元/平,2020.05.10,南北,简装,低楼层(共6层),1990年建板楼
惠康苑,2室1厅,79平米,186,23545元/平,2020.05.10,南,毛坯,低楼层(共18层),2014年建板楼
天鸿公寓,3室2厅,134.63平米,726,53926元/平,2020.05.10,南,简装,中楼层(共6层),2008年建板楼
三门路358弄,1室1厅,43.24平米,213,49260元/平,2020.05.10,南,简装,中楼层(共7层),1995年建板楼
临沂七村,2室2厅,57.29平米,333,58126元/平,2020.05.10,南,精装,低楼层(共6层),1990年建板楼
三湘四季花城牡丹苑,2室2厅,111平米,402,36217元/平,2020.05.10,南,精装,中楼层(共27层),板楼
崧泽华城华中苑,2室2厅,79.66平米,173,21718元/平,2020.05.10,南,毛坯,高楼层(共18层),板楼
巨西小区,2室1厅,53.95平米,445,82484元/平,2020.05.10,南,简装,高楼层(共6层),1993年建板楼
绿地新干线,3室1厅,81.89平米,294,35902元/平,2020.05.10,南,精装,高楼层(共6层),2005年建板楼
